name,unit,category,supplier
Aal FRISCH (anguilla),kg,NotDefined,NotDefined
Abate,kg,NotDefined,NotDefined
Absinth,l,NotDefined,NotDefined
Absinth,l,NotDefined,NotDefined
Absinth,ml,NotDefined,NotDefined
Acquavit Line,ml,NotDefined,NotDefined
Ahornsirup,ml,NotDefined,NotDefined
Ahornsirup,l,NotDefined,NotDefined
Akazienhonig,g,NotDefined,NotDefined
Akazienhonig,kg,NotDefined,NotDefined
Alkermes,ml,NotDefined,NotDefined
Alpestre,ml,NotDefined,NotDefined
Amaranth,kg,NotDefined,NotDefined
Amaranth,g,NotDefined,NotDefined
Amarenakirschen,kg,NotDefined,NotDefined
Amaretto di Saronno,ml,NotDefined,NotDefined
Amaretto di Saronno,l,NotDefined,NotDefined
Ananas FRISCH,kg,NotDefined,NotDefined
Ananassaft 100%,l,NotDefined,NotDefined
Ananassaft 100%,l,NotDefined,NotDefined
Ananasscheiben,kg,NotDefined,NotDefined
Ananasscheiben,kg,NotDefined,NotDefined
Anejo,ml,NotDefined,NotDefined
Anejo,ml,NotDefined,NotDefined
Angostura,ml,NotDefined,NotDefined
Anis GANZ,g,NotDefined,NotDefined
Aperol,ml,NotDefined,NotDefined
Aperol,l,NotDefined,NotDefined
Apfelessig,ml,NotDefined,NotDefined
Apfelessig,ml,NotDefined,NotDefined
Apfelessig,l,NotDefined,NotDefined
Apfellikör,ml,NotDefined,NotDefined
Apfelsaft,l,NotDefined,NotDefined
Apfelsaft,l,NotDefined,NotDefined
Apfelsaft,ml,NotDefined,NotDefined
Apfelschnaps,ml,NotDefined,NotDefined
Aprikosen FRISCH,kg,NotDefined,NotDefined
Aprikosen GETROCKNET,g,NotDefined,NotDefined
Aprikosenkompott,kg,NotDefined,NotDefined
Aprikosenmark,l,NotDefined,NotDefined
Aprikosenmarmelade,kg,NotDefined,NotDefined
Aprikosenmarmelade,kg,NotDefined,NotDefined
Aprikosenmarmelade,kg,NotDefined,NotDefined
Aprikosenmarmelade,kg,NotDefined,NotDefined
Aprikosenmarmelade,g,NotDefined,NotDefined
Armagnac,ml,NotDefined,NotDefined
Arneis Roero,ml,NotDefined,NotDefined
Aroma VANILLE,g,NotDefined,NotDefined
Aroma ZITRONE,g,NotDefined,NotDefined
Aroma ZITRONE,kg,NotDefined,NotDefined
Artischocken FRISCH,Stück,NotDefined,NotDefined
Artischocken GEFROREN,kg,NotDefined,NotDefined
Artischocken in Öl,g,NotDefined,NotDefined
Artischocken in Öl,kg,NotDefined,NotDefined
Artischocken NATUR,kg,NotDefined,NotDefined
Artischocken NATUR,g,NotDefined,NotDefined
Artischockenböden GEFROREN,kg,NotDefined,NotDefined
Asbach Uralt,ml,NotDefined,NotDefined
Ascorbinsäure,g,NotDefined,NotDefined
Ascorbinsäure,kg,NotDefined,NotDefined
Aula Pökelsalz KONZENTRIERT,kg,NotDefined,NotDefined
Aurum,ml,NotDefined,NotDefined
Austern (Ostrice),Stück,NotDefined,NotDefined
Austernpilze,kg,NotDefined,NotDefined
Austernpilze,kg,NotDefined,NotDefined
Averna,ml,NotDefined,NotDefined
Avocados,Stück,NotDefined,NotDefined
Babyananas,Stück,NotDefined,NotDefined
Babykarotten,kg,NotDefined,NotDefined
Bacardi GOLD,ml,NotDefined,NotDefined
Bacardi WEIß,ml,NotDefined,NotDefined
Backerbsen,kg,NotDefined,NotDefined
Backpulver,kg,NotDefined,NotDefined
Backpulver,g,NotDefined,NotDefined
Backtrennfett,ml,NotDefined,NotDefined
Backtrennfett,kg,NotDefined,NotDefined
Backtrennpapier 57x200,Stück,NotDefined,NotDefined
Baguette FRISCH,Stück,NotDefined,NotDefined
Baguette GEFROREN,Stück,NotDefined,NotDefined
Baileys,ml,NotDefined,NotDefined
Balsamessig,ml,NotDefined,NotDefined
Balsamessig,ml,NotDefined,NotDefined
Balsamessig,l,NotDefined,NotDefined
Balsamessig ALT,ml,NotDefined,NotDefined
Balsamessig WEIß,ml,NotDefined,NotDefined
Bananen,kg,NotDefined,NotDefined
Bananen,Stück,NotDefined,NotDefined
Bananenlikör,ml,NotDefined,NotDefined
Barbaresco,l,NotDefined,NotDefined
Bärlauch FRISCH,g,NotDefined,NotDefined
Barolo,l,NotDefined,NotDefined
Basilikum FRISCH,g,NotDefined,NotDefined
Basmati,kg,NotDefined,NotDefined
Batida de Coco,ml,NotDefined,NotDefined
Bauchspeck,kg,NotDefined,NotDefined
Bavette,kg,NotDefined,NotDefined
Beefeater,ml,NotDefined,NotDefined
Beinfleisch,kg,NotDefined,NotDefined
Bel Paese,kg,NotDefined,NotDefined
Belgischer Salat,g,NotDefined,NotDefined
Belluga,g,NotDefined,NotDefined
Belluga,g,NotDefined,NotDefined
Bergkäse,kg,NotDefined,NotDefined
Bianco,kg,NotDefined,NotDefined
Bianco di Custozza,l,NotDefined,NotDefined
Bier,l,NotDefined,NotDefined
Bier,l,NotDefined,NotDefined
Bier,l,NotDefined,NotDefined
Bier,l,NotDefined,NotDefined
Bier,l,NotDefined,NotDefined
Bier ALKOHOLFREI,l,NotDefined,NotDefined
Bier ALKOHOLFREI,l,NotDefined,NotDefined
Biobackmittel,kg,NotDefined,NotDefined
Biostart SPRINT,g,NotDefined,NotDefined
Birnen GETROCKNET,kg,NotDefined,NotDefined
Birnenkompott,kg,NotDefined,NotDefined
Bisquit,ml,NotDefined,NotDefined
Bitter Lemon,ml,NotDefined,NotDefined
Bitter Orange,ml,NotDefined,NotDefined
Bitter San Pellegrino ROT,ml,NotDefined,NotDefined
Bitter San Pellegrino WEISS,ml,NotDefined,NotDefined
Blätterteig GEFROREN,kg,NotDefined,NotDefined
Blauburgunder,l,NotDefined,NotDefined
Blaukraut,kg,NotDefined,NotDefined
Blumenkohl,kg,NotDefined,NotDefined
Blüten MIX,g,NotDefined,NotDefined
Blütenhonig,g,NotDefined,NotDefined
Blütenhonig,kg,NotDefined,NotDefined
Blutwurst,kg,NotDefined,NotDefined
Bohnen Borlotti,kg,NotDefined,NotDefined
Bohnen Borlotti GETROCKNET,kg,NotDefined,NotDefined
Bohnen Cannellini,kg,NotDefined,NotDefined
Bohnen Cannellini GETROCKNET,kg,NotDefined,NotDefined
Bohnen Corona,kg,NotDefined,NotDefined
Bohnen FRISCH,kg,NotDefined,NotDefined
Bohnen GEFROREN,kg,NotDefined,NotDefined
Bombay,ml,NotDefined,NotDefined
Brandy,ml,NotDefined,NotDefined
Brasilianer,kg,NotDefined,NotDefined
Bratwurst,kg,NotDefined,NotDefined
Braulio,ml,NotDefined,NotDefined
Brezellauge,l,NotDefined,NotDefined
Brezelsalz,kg,NotDefined,NotDefined
Brie,kg,NotDefined,NotDefined
Brikteig FRISCH,Stück,NotDefined,NotDefined
Broccoli FRISCH,kg,NotDefined,NotDefined
Broccoli GEFROREN,kg,NotDefined,NotDefined
Brombeeren FRISCH,g,NotDefined,NotDefined
Brombeeren GEFROREN,kg,NotDefined,NotDefined
Brombeeren GEFROREN,kg,NotDefined,NotDefined
Brösel,kg,NotDefined,NotDefined
Brunello di Montalcino,l,NotDefined,NotDefined
Bruschettabrot,g,NotDefined,NotDefined
Bucatini,kg,NotDefined,NotDefined
Buchweizenkorn,kg,NotDefined,NotDefined
Buchweizenmehl FEIN,g,NotDefined,NotDefined
Buchweizenmehl GROB,g,NotDefined,NotDefined
Büffelmozzarella,g,NotDefined,NotDefined
Butter,kg,NotDefined,NotDefined
Butter,g,NotDefined,NotDefined
Butter,g,NotDefined,NotDefined
Butter,Stück,NotDefined,NotDefined
Butter,Stück,NotDefined,NotDefined
Buttermilch,g,NotDefined,NotDefined
Cabernet,l,NotDefined,NotDefined
Calamar,kg,NotDefined,NotDefined
Caldiv,ml,NotDefined,NotDefined
Calvados,ml,NotDefined,NotDefined
